Name,Hours-worked,Hourly-rate
Laura Taylor,23,11.8
Christopher Allen,38,37.96
Toni Saunders,55,18.04
Jacqueline Brewer,54,36.87
Jamie Walker,42,32.64
Anthony Lopez,32,18.04
Nathaniel Martin,54,30.96
Brian Gutierrez,59,73.55
Diana Sanchez,40,73.24
John Davis,38,50.93
Rebecca Crawford,30,39.59
Jennifer Griffin,46,49.91
Julia Wallace,46,29.53
Tina Wang,49,74.72
Philip Weaver,58,57.75
Emily Garner,26,52.38
Jodi Green,21,14.95
Joseph Terrell,46,64.22
Jennifer Marks,57,44.22
Frank Daniels,42,49.75
Jay Burnett,47,28.55
David Miller,55,15.59
Natalie Villarreal,36,45.4
Laurie Garza,54,25.48
Jennifer Lopez,21,65.85
Jo Thompson,59,50.33
Shannon Hall,53,69.6
Mr. Colin Morales,57,28.0
David Brown,54,36.71
Julie Koch,60,46.09
Veronica Lewis,27,52.13
Martha Whitney,22,21.02
Mr. James Moore,38,20.04
Dr. Shannon White MD,23,55.32
Aaron Montgomery,47,14.07
Latoya Rose,52,27.53
Sarah Evans,43,74.63
Robert Gutierrez,49,66.4
Kathy Chavez,30,39.49
Dr. Kenneth Gomez,55,51.22
Monica Reynolds,44,72.71
Karen Nelson,33,55.55
Samuel Sweeney,43,49.0
Madeline Dunn,55,69.97
Michael Mccarthy,20,57.59
Tom Yu,59,63.2
Tammy Nguyen,59,63.86
Anthony Smith,39,65.08
Tracy Miller,33,18.49
Roger Rivers,55,57.82
Juan Walker,31,39.1
Stephanie Pearson,32,56.33
Caroline Smith,21,39.91
Brenda Watkins,47,62.26
James Guzman,36,20.34
Melissa Underwood,21,48.99
Christopher Lane,20,67.64
Christopher Mccarthy,34,23.26
Alexander Ross,36,19.63
Katherine Porter,24,11.0
Erica Fisher,55,33.43
Ronald Brown,27,40.91
Marvin Mccullough,30,29.56
Kayla Burgess,22,37.56
Karl Rivas,27,30.98
Eddie Moore,40,60.87
David Smith,52,11.96
James Hicks,34,61.23
Jennifer Reed,22,66.66
Mary Casey,49,55.43
Anthony Mccarty,25,25.23
Tammie Lane,36,57.39
Brittany Smith,25,10.9
Marvin Ramirez,26,19.84
Joshua Mcdonald,44,31.93
John Padilla,23,66.35
Chase Rojas,34,45.06
Angela Orozco,53,24.65
Robert Lopez,27,36.47
Laura Hill,58,28.73
Douglas Maldonado,48,24.33
Brian Bell,46,38.22
Lisa Harris,28,14.47
Mark Johnson,28,36.37
Brittany Hicks,30,47.79
Collin Barnes,37,53.0
Charles Brown,60,26.1
Jamie Smith,39,51.39
Gail Johnson,30,24.98
Jessica Cannon,22,67.25
Crystal Jones,44,70.28
Michael Reyes,42,63.15
Devon Harper,31,18.87
Dylan Smith,29,64.3
Travis Gonzales,44,58.89
Laura Harrington,56,20.81
David Levine,45,53.87
Richard Vang,49,10.41
Tyler Palmer,34,17.69
Travis Rodriguez,25,66.9
Ashley Davis,57,10.31
James Warren,48,52.69
Stephanie Cook,59,41.05
Angela Ferguson,57,61.85
Kevin Stevens,52,54.85
Lisa Peters,39,33.61
Anne Franklin,28,38.51
Jennifer Wood,24,12.87
Christopher Molina Jr.,36,49.31
Jessica Smith,52,18.55
Francis Barron,29,32.9
Mr. Daniel Perez MD,53,14.74
